Site ID,Facility Type,Facility Subtype,Facility ID,Oval Track Lanes,Oval Track Length,Sprint Straight Length,Straight Track Lanes,Track Lanes,Track Length,Artificial Sports Lighting,Discuss Throw Facility,Hammer Throw Facility,High Jump Facility,Indoor Throw Net for Javelin,Indoor Throws Training - Cage,Infield Surface Type,Javelin Throw Facility,Long Jump Facility,Pole Vault Facility,Shot Put Facility,Steeplechase Water Jump,Track Surface Type,Triple Jump Facility,SpectatorAccom: Capacity Estimate,SpectatorAccom: Checked,SpectatorAccom: Shared Flag,SpectatorAccom: Designated Accessible,SpectatorAccom: Designated Accessible Covered,SpectatorAccom: Designated Accessible Uncovered,SpectatorAccom: Seating,SpectatorAccom: Seating Covered,SpectatorAccom: Seating Uncovered,SpectatorAccom: Standing,SpectatorAccom: Standing Covered,SpectatorAccom: Standing Uncovered,SpectatorAccom: Total Capacity,Operational Status,Operational Status Notes,Operator Name,Date Opened,Expected Opening Date,Accessibility Type (Text),Accessibility Type Group (Text),Management Type (Text),Management Type Group (Text),Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Changing Place Toilets,Disability Notes,Year Built,Year Built Estimated?,Is Refurbished?,Year Refurbished,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Timing Type,Seasonality Type,Start Month,End Month,Closed Date,Closure Reason,Last Updated Date,Meets Active Places Criteria,Easting,Northing,Latitude,Longitude,OBJECTID,Created Date,x,y
1002425,Athletics,Standard Oval Outdoor,2009264,7,0,0,0,,,Yes,No,No,No,,,Grass,No,No,No,No,No,Synthetic,No,No,No,No,,0,0,,0,0,,0,0,0,Closed,,,,,Pay and Play,Public Access,Not Known,Not Known,No,No,No,No,No,No,No,No,No,No,Not Known,,1984,No,Yes,2006,Yes,No,,Not Known,All Year,,,11/1/2014 12:00:00 AM,Unclassified,3/11/2015 12:00:00 AM,No,537660,190186,51.59372,-0.01404314,1,,537660,190186
1002141,Athletics,Standard Oval Outdoor,2009256,8,400,110,8,,,Yes,Yes,Yes,Yes,,,Grass,Yes,Yes,Yes,Yes,Yes,Synthetic,Yes,Yes,Yes,No,,1,0,,17000,0,,0,0,17001,Operational,,,,,Registered Membership use,Public Access,Trust,Trust,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,1964,No,Yes,2023,Yes,No,,Detailed Timings,All Year,,,,,11/15/2024 3:37:30 PM,Yes,534454,170658,51.419,-0.06774256,2,,534454,170658
1002316,Athletics,Standard Oval Outdoor,2009259,8,400,110,8,,,Yes,Yes,Yes,Yes,,,Grass,Yes,Yes,Yes,Yes,Yes,Synthetic,Yes,No,Yes,No,,1,0,,390,0,,0,0,391,Operational,,Places Leisure,,,Sports Club / Community Association,Public Access,Commercial Management,Commercial,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Parking: Dedicated bays, Reception Area: Ramp, Changing Facilities: Individual disabled shower",1990,No,Yes,2007,Yes,No,,Detailed Timings,All Year,,,,,11/8/2024 8:51:55 AM,Yes,519484,168755,51.40525,-0.2835553,3,,519484,168755
1002343,Athletics,Standard Oval Outdoor,2009260,8,400,110,8,,,Yes,Yes,Yes,Yes,,,Grass,Yes,Yes,Yes,Yes,Yes,Synthetic,Yes,Yes,Yes,No,,1,0,,439,0,,0,0,440,Operational,,,,,Pay and Play,Public Access,Trust,Trust,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Parking: 4 Disabled parking bays.,1990,No,No,,Yes,Yes,2005,Detailed Timings,All Year,,,,,11/15/2024 4:42:21 PM,Yes,536641,181893,51.51944,-0.03196947,4,,536641,181893
1002350,Athletics,Standard Oval Outdoor,2009261,8,400,110,8,,,Yes,No,No,No,,,Synthetic,No,No,No,No,Yes,Synthetic,No,No,Yes,No,,1,0,,1000,0,,0,0,1001,Operational,,Fusion Lifestyle,,,Pay and Play,Public Access,Trust,Trust,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,,1971,No,Yes,2015,Yes,No,,Detailed Timings,All Year,,,,,5/29/2024 10:29:08 AM,Yes,531640,191299,51.60515,-0.1004882,5,,531640,191299
1002353,Athletics,Standard Oval Outdoor,2009262,8,400,110,8,,,Yes,No,No,No,,,Grass,No,Yes,No,No,Yes,Synthetic,Yes,Yes,Yes,No,,1,0,,100,0,,0,0,101,Operational,,Active Newham,,,Sports Club / Community Association,Public Access,Trust,Trust,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,,1994,No,Yes,2008,Yes,Yes,2017,Detailed Timings,All Year,,,,,10/17/2024 9:57:36 AM,Yes,541373,181939,51.51869,0.03620545,6,,541373,181939
1002361,Athletics,Standard Oval Outdoor,2009263,6,400,110,6,,,Yes,No,No,Yes,,,Synthetic,No,Yes,No,Yes,No,Synthetic,Yes,No,No,No,,0,0,,0,0,,0,0,0,Operational,,Everyone Active,,,Registered Membership use,Public Access,Trust,Trust,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,1970,No,Yes,2021,Yes,Yes,2008,Detailed Timings,All Year,,,,,3/8/2024 10:11:16 AM,Yes,525553,182802,51.53018,-0.1913693,7,,525553,182802
1002452,Athletics,Standard Oval Outdoor,2009265,8,400,110,8,,,Yes,No,No,Yes,,,Synthetic,No,Yes,Yes,Yes,Yes,Synthetic,Yes,No,No,No,,0,0,,0,0,,0,0,0,Operational,"Pls note From Feb 2022 ne site set up with Address of Bingham Arena, Mercia Court, chapel Lane, Bingham, Nottingham, NG13 8QX so the facilities are spilt between the two different buildings and areas. ",,,,Sports Club / Community Association,Public Access,Commercial Management,Commercial,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,,1969,No,Yes,2019,Yes,Yes,2019,Detailed Timings,All Year,,,,,11/27/2024 11:36:31 AM,Yes,470581,339494,52.94822,-0.9509996,8,,470581,339494
1002462,Athletics,Standard Oval Outdoor,2009266,5,400,100,5,,,No,No,No,No,,,Grass,No,Yes,No,No,No,Cinder,Yes,No,No,No,,0,0,,0,0,,0,0,0,Operational,School use - not hired out ,Active4today,,,Pay and Play,Public Access,School/College/University (in house),Education,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,1961,No,No,,Yes,No,,Detailed Timings,All Year,,,,,8/29/2024 8:28:39 AM,Yes,466928,368531,53.20966,-0.9993269,9,,466928,368531
30005681,Athletics,Standard Oval Outdoor,2009267,6,0,0,0,,,Yes,No,No,No,,,Grass,No,No,No,No,No,Cinder,No,No,No,No,,0,0,,0,0,,0,0,0,Closed,,,,,Private Use,Private,School/College/University (in house),Education,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Not Known,,1970,No,No,,Yes,Yes,2006,Detailed Timings,All Year,,,7/31/2016 12:00:00 AM,Strategic Review - facility/site not being replaced,6/29/2023 2:37:37 PM,No,481580,352399,53.06264,-0.784073,10,,481580,352399
