Site ID,Facility Type,Facility Subtype,Facility ID,Automatic Start Gate,Bike Wash,Timing System,Start Gate,No of Persons Start Gate,Number of Straights,Number of Turns,Surface,Artificial Sports Lighting,Start Hill Elevation,Start Hill Width,Start Straight Length,Start Straight Width,Length of Straights,Degree of Banking at Middle of Bends,Degree of Banking at Middle of Straight,Overall Width,Total Length,Width of Turns/Bends,Radius of Turns/Bends,Finish Straight Length,Finish Straight Width,Black Trails,Length of Black Trails,Blue Trails,Length of Blue Trails,Extreme Trails,Length of Extreme Trails,Green Trails,Length of Green Trails,Red Trails,Length of Red Trails,Length of All Trails,Operational Status,Operational Status Notes,Operator Name,Date Opened,Expected Opening Date,Accessibility Type (Text),Accessibility Type Group (Text),Management Type (Text),Management Type Group (Text),Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Changing Place Toilets,Disability Notes,Year Built,Year Built Estimated?,Is Refurbished?,Year Refurbished,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Timing Type,Seasonality Type,Start Month,Closed Date,Closure Reason,Last Updated Date,Meets Active Places Criteria,Easting,Northing,Latitude,Longitude,OBJECTID,Created Date,x,y
1045062,Cycling,Mountain Bike - Trails,30009226,,No,,,,,,,,,,,,,,,,,,,,,No,0,No,0,No,0,Yes,3,Yes,3,6,Operational,,,,,Pay and Play,Public Access,Local Authority (in house),Local Authority,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,2015,Yes,No,,No,No,,Dawn To Dusk,All Year,,,,10/22/2024 8:31:45 AM,Yes,547461,191810,51.60583,0.1280273,1,2/14/2017 12:38:10 PM,547461,191810
1002925,Cycling,Track - Outdoor Velodrome,30009227,,,No,,,,,Macadam,Yes,,,,,84,10,1,8,459,,40,,,,,,,,,,,,,,Operational,,,,,Pay and Play,Public Access,Trust,Trust,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,1960,No,No,,Yes,Yes,2008,Detailed Timings,All Year,,,,5/17/2024 7:56:04 AM,Yes,523342,211738,51.79071,-0.2130262,2,2/14/2017 12:46:54 PM,523342,211738
6003892,Cycling,BMX - Pump Track,30009230,No,,,No,,,,Various,No,,,,,,,,6,100,,,,,,,,,,,,,,,,Temporarily Closed,Closed,,,,Free Public Access,Public Access,Local Authority (in house),Local Authority,No,No,No,No,No,No,No,No,No,No,No,,2005,No,Yes,2008,No,No,,Dawn To Dusk,All Year,,,,1/7/2025 7:17:38 AM,Yes,435820,547319,54.81946,-1.444082,3,2/14/2017 12:56:48 PM,435820,547319
1005039,Cycling,BMX - Pump Track,30009234,No,,,Yes,,,,Macadam,No,,,,,,,,3,100,,,,,,,,,,,,,,,,Operational,Track length = 250m. ,,,,Sports Club / Community Association,Public Access,Trust,Trust,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,2 disabled bays,2008,Yes,No,,Yes,No,,Detailed Timings,All Year,,,,10/10/2023 1:08:53 PM,Yes,419444,535146,54.71096,-1.699743,4,2/14/2017 4:00:16 PM,419444,535146
1059387,Cycling,Road - Closed Road Cycling Circuit,30009242,,,No,,,,,Macadam,Yes,,,,,,,,6,1000,,20,100,7.75,,,,,,,,,,,,Operational,,Everyone Active,,,Pay and Play,Public Access,Commercial Management,Commercial,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,2010,Yes,No,,Yes,No,,Detailed Timings,All Year,,,,9/12/2024 6:41:53 AM,Yes,451173,516845,54.5443,-1.210502,5,2/14/2017 4:18:29 PM,451173,516845
1044800,Cycling,BMX - Race Track,30009243,No,,,Yes,8,4,5,Concrete,No,10,8,38,7,,,,5,380,8,,45,7,,,,,,,,,,,,Operational,,,,,Sports Club / Community Association,Public Access,Local Authority (in house),Local Authority,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,,2005,No,No,,Yes,No,,Dawn To Dusk,All Year,,,,5/20/2024 10:33:48 AM,Yes,448924,531608,54.67718,-1.242814,6,2/14/2017 4:19:23 PM,448924,531608
1042061,Cycling,BMX - Race Track,30009256,Yes,,,Yes,7,4,3,Various,Yes,3,10,62,10,,,,6,400,5.5,,60,7,,,,,,,,,,,,Operational,,,,,Registered Membership use,Public Access,Trust,Trust,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,2012,No,Yes,2017,Yes,No,,Detailed Timings,All Year,,,,8/15/2024 12:01:04 PM,Yes,345153,391285,53.41553,-2.826649,7,2/15/2017 9:06:53 AM,345153,391285
1042061,Cycling,Track - Outdoor Velodrome,30009257,,,No,,,,,Macadam,Yes,,,,,82,10,1,9,400,,20,,,,,,,,,,,,,,Operational,,,,,Registered Membership use,Public Access,Trust,Trust,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,2012,Yes,No,,Yes,No,,Detailed Timings,All Year,,,,8/15/2024 12:01:04 PM,Yes,345153,391285,53.41553,-2.826649,8,2/15/2017 9:06:54 AM,345153,391285
1038832,Cycling,BMX - Race Track,30009263,No,,,Yes,8,4,3,Macadam,Yes,1.5,8.3,50,8,,,,6,400,7,,56,6,,,,,,,,,,,,Operational,,,,,Pay and Play,Public Access,Sport Club,Others,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,,2013,No,No,,Yes,No,,Dawn To Dusk,All Year,,,,2/23/2024 10:43:11 AM,Yes,355212,428929,53.7548,-2.680743,9,2/15/2017 10:14:17 AM,355212,428929
1208096,Cycling,BMX - Race Track,30009264,No,,,Yes,8,4,3,Various,Yes,10,8,56,6,,,,6,314,5,,51,7,,,,,,,,,,,,Operational,,,,,Sports Club / Community Association,Public Access,Sport Club,Others,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Uneven surfaces,1988,No,Yes,2013,Yes,Yes,2013,Dawn To Dusk,All Year,,,,2/26/2024 9:23:49 AM,Yes,355360,413005,53.6117,-2.676204,10,2/15/2017 10:38:27 AM,355360,413005
