WD13CD,Ward name,Borough name,Open Space,Local Parks,District Parks,Metropolitan Parks,Regional Parks,Percentage of households with access to:
E05000026,Abbey,Barking and Dagenham,70.7,25.6,98.0,0.0,0.0,
E05000027,Alibon,Barking and Dagenham,8.0,19.6,19.1,100.0,0.0,
E05000028,Becontree,Barking and Dagenham,39.2,32.7,71.0,99.1,0.0,
E05000029,Chadwell Heath,Barking and Dagenham,63.1,64.0,0.0,9.0,0.0,
E05000030,Eastbrook,Barking and Dagenham,56.7,12.4,97.0,100.0,0.0,
E05000031,Eastbury,Barking and Dagenham,77.4,13.5,65.3,43.1,0.0,
E05000032,Gascoigne,Barking and Dagenham,87.3,51.7,6.1,0.0,0.0,
E05000033,Goresbrook,Barking and Dagenham,59.0,82.9,6.3,100.0,0.0,
E05000034,Heath,Barking and Dagenham,59.3,3.0,68.5,100.0,0.0,
E05000035,Longbridge,Barking and Dagenham,62.7,0.3,100.0,17.2,0.0,
E05000036,Mayesbrook,Barking and Dagenham,41.9,0.0,91.9,100.0,0.0,
E05000037,Parsloes,Barking and Dagenham,55.5,27.0,4.1,100.0,0.0,
E05000038,River,Barking and Dagenham,28.9,60.4,54.1,94.7,0.0,
E05000039,Thames,Barking and Dagenham,92.5,30.7,4.8,5.9,0.0,
E05000040,Valence,Barking and Dagenham,86.4,38.1,12.1,95.8,0.0,
E05000041,Village,Barking and Dagenham,25.4,35.8,67.1,100.0,0.0,
E05000042,Whalebone,Barking and Dagenham,29.7,4.9,18.3,24.5,0.0,
E05000043,Brunswick Park,Barnet,26.7,23.4,99.9,24.7,0.0,
E05000044,Burnt Oak,Barnet,25.8,68.3,12.9,6.6,0.0,
E05000045,Childs Hill,Barnet,0.9,39.5,22.9,97.5,0.0,
E05000046,Colindale,Barnet,32.9,52.6,34.6,29.3,0.0,
E05000047,Coppetts,Barnet,26.0,38.0,9.8,38.0,0.0,
E05000048,East Barnet,Barnet,46.1,36.4,98.4,90.6,0.0,
E05000049,East Finchley,Barnet,60.8,30.5,0.0,40.4,0.0,
E05000050,Edgware,Barnet,32.1,24.0,10.1,0.0,0.0,
E05000051,Finchley Church End,Barnet,49.4,39.5,8.4,0.0,0.0,
E05000052,Garden Suburb,Barnet,23.2,59.0,61.7,76.9,0.0,
E05000053,Golders Green,Barnet,22.8,33.1,3.7,45.9,0.0,
E05000054,Hale,Barnet,16.9,21.3,13.7,0.0,0.0,
E05000055,Hendon,Barnet,44.5,14.1,73.1,0.0,0.0,
E05000056,High Barnet,Barnet,38.9,27.5,75.8,0.0,0.0,
E05000057,Mill Hill,Barnet,56.8,10.7,68.5,0.0,0.0,
E05000058,Oakleigh,Barnet,30.3,21.1,65.1,0.3,0.0,
E05000059,Totteridge,Barnet,38.9,39.5,74.7,0.0,0.0,
E05000060,Underhill,Barnet,39.6,22.6,95.2,0.0,0.0,
E05000061,West Finchley,Barnet,28.0,25.8,2.5,0.0,0.0,
E05000062,West Hendon,Barnet,45.0,47.1,60.5,19.8,0.0,
E05000063,Woodhouse,Barnet,20.2,41.5,8.3,0.0,0.0,
