wd11cd,wd11nm,Cluster,Gym,Poverty_family,GreenSpace,is_high_obesity
E05000026,Abbey,4,10.0,0.0,0.0,True
E05000028,Becontree,4,10.0,0.0,0.0,True
E05000029,Chadwell Heath,4,10.0,0.0,0.0,True
E05000030,Eastbrook,4,10.0,0.0,0.0,True
E05000031,Eastbury,4,9.8965028,0.1034972,0.0,True
E05000032,Gascoigne,4,10.0,0.0,0.0,True
E05000033,Goresbrook,4,10.0,0.0,0.0,True
E05000034,Heath,4,10.0,0.0,0.0,True
E05000037,Parsloes,4,10.0,0.0,0.0,True
E05000039,Thames,4,10.0,0.0,0.0,True
E05000040,Valence,4,10.0,0.0,0.0,True
E05000065,Belvedere,4,0.0,10.0,0.0,True
E05000070,Colyers,4,10.0,0.0,0.0,True
E05000071,Crayford,4,0.0,10.0,0.0,True
E05000072,Cray Meadows,4,10.0,0.0,0.0,True
E05000079,North End,4,10.0,0.0,0.0,True
E05000080,Northumberland Heath,4,0.0,10.0,0.0,True
E05000084,Thamesmead East,4,10.0,0.0,0.0,True
E05000094,Kilburn,4,10.0,0.0,0.0,True
E05000100,Stonebridge,4,10.0,0.0,0.0,True
E05000114,Cray Valley East,4,0.0,0.0,0.0,True
E05000115,Cray Valley West,4,0.0,0.0,0.0,True
E05000121,Mottingham and Chislehurst North,4,10.0,0.0,0.0,True
E05000122,Orpington,4,10.0,0.0,0.0,True
E05000130,Camden Town with Primrose Hill,4,0.0,0.0,0.0,True
E05000131,Cantelowes,4,0.0,0.0,0.0,True
E05000134,Gospel Oak,4,10.0,0.0,0.0,True
E05000136,Haverstock,4,10.0,0.0,0.0,True
E05000138,Holborn and Covent Garden,4,0.0,0.0,0.0,True
E05000139,Kentish Town,4,0.0,0.0,0.0,True
E05000140,Kilburn,4,10.0,0.0,0.0,True
E05000141,King's Cross,4,0.0,0.0,0.0,True
E05000142,Regent's Park,4,10.0,0.0,0.0,True
E05000143,St Pancras and Somers Town,4,0.0,10.0,0.0,True
E05000154,Fieldway,4,10.0,0.0,0.0,True
E05000172,Dormers Wells,4,10.0,0.0,0.0,True
E05000175,East Acton,4,10.0,0.0,0.0,True
E05000176,Elthorne,4,0.0,0.0,0.0,True
E05000177,Greenford Broadway,4,10.0,0.0,0.0,True
E05000180,Hobbayne,4,0.0,0.0,0.0,True
E05000184,Northolt Mandeville,4,10.0,0.0,0.0,True
E05000185,Northolt West End,4,10.0,0.0,0.0,True
E05000186,Norwood Green,4,0.0,0.0,0.0,True
E05000188,South Acton,4,10.0,0.0,0.0,True
E05000193,Bowes,4,0.0,0.0,0.0,True
