Ward_ID,Ward_Name,Gym,Poverty_Family,GreenSpace,Cluster
E05000026,Abbey,0.0,0,10.0,4
E05000027,Alibon,0.0,0,0.0,2
E05000028,Becontree,0.0,0,10.0,4
E05000029,Chadwell Heath,0.0,0,10.0,4
E05000030,Eastbrook,0.0,0,10.0,4
E05000031,Eastbury,0.0,0,10.0,4
E05000032,Gascoigne,0.0,0,10.0,4
E05000033,Goresbrook,0.0,0,10.0,4
E05000034,Heath,0.0,0,10.0,4
E05000035,Longbridge,0.0,0,10.0,1
E05000036,Mayesbrook,0.0,0,10.0,0
E05000037,Parsloes,0.0,0,10.0,4
E05000038,River,0.0,0,10.0,2
E05000039,Thames,0.0,0,10.0,4
E05000040,Valence,0.0,0,10.0,4
E05000041,Village,0.0,0,10.0,3
E05000042,Whalebone,0.0,0,10.0,2
E05000043,Brunswick Park,0.0,0,0.0,2
E05000044,Burnt Oak,0.0,0,10.0,2
E05000045,Childs Hill,0.0,0,0.0,2
E05000046,Colindale,0.0,0,10.0,0
E05000047,Coppetts,0.0,0,0.0,2
E05000048,East Barnet,0.0,0,0.0,1
E05000049,East Finchley,0.0,0,0.0,1
E05000050,Edgware,0.0,0,0.0,2
E05000051,Finchley Church End,0.0,0,0.0,1
E05000052,Garden Suburb,0.0,0,0.0,2
E05000053,Golders Green,0.0,0,0.0,2
E05000054,Hale,0.0,0,0.0,2
E05000055,Hendon,0.0,0,0.0,1
E05000056,High Barnet,0.0,0,0.0,1
E05000057,Mill Hill,0.0,0,0.0,0
E05000058,Oakleigh,0.0,0,0.0,2
E05000059,Totteridge,0.0,0,0.0,1
E05000060,Underhill,0.0,0,0.0,2
E05000061,West Finchley,0.0,0,0.0,2
E05000062,West Hendon,0.0,0,0.0,1
E05000063,Woodhouse,0.0,0,0.0,2
E05000064,Barnehurst,0.0,0,10.0,2
E05000065,Belvedere,0.0,0,10.0,4
E05000066,Blackfen and Lamorbey,0.0,0,0.0,1
E05000067,Blendon and Penhill,0.0,0,0.0,1
E05000068,Brampton,0.0,0,0.0,2
E05000069,Christchurch,0.0,0,0.0,1
E05000070,Colyers,0.0,0,10.0,4
E05000071,Crayford,0.0,0,10.0,4
E05000072,Cray Meadows,0.0,0,10.0,4
E05000073,Danson Park,0.0,0,10.0,2
E05000074,East Wickham,0.0,0,10.0,2
