Ward_ID,Ward_Name,Cluster,Gym,Poverty_Family,GreenSpace
E05000026,Abbey,4,0,0,0.0
E05000028,Becontree,4,0,0,20.0
E05000029,Chadwell Heath,4,0,0,20.0
E05000030,Eastbrook,4,0,0,20.0
E05000031,Eastbury,4,0,0,20.0
E05000032,Gascoigne,4,0,0,0.0
E05000033,Goresbrook,4,0,0,20.0
E05000034,Heath,4,0,0,20.0
E05000037,Parsloes,4,0,0,20.0
E05000039,Thames,4,0,0,0.0
E05000040,Valence,4,0,0,20.0
E05000065,Belvedere,4,0,0,20.0
E05000070,Colyers,4,0,0,20.0
E05000071,Crayford,4,0,0,20.0
E05000072,Cray Meadows,4,0,0,20.0
E05000079,North End,4,0,0,20.0
E05000080,Northumberland Heath,4,0,0,20.0
E05000084,Thamesmead East,4,0,0,0.0
E05000094,Kilburn,4,0,0,0.0
E05000100,Stonebridge,4,0,0,0.0
E05000114,Cray Valley East,4,0,0,0.0
E05000115,Cray Valley West,4,0,0,0.0
E05000121,Mottingham and Chislehurst North,4,0,0,20.0
E05000122,Orpington,4,0,0,20.0
E05000130,Camden Town with Primrose Hill,4,0,0,0.0
E05000131,Cantelowes,4,0,0,0.0
E05000134,Gospel Oak,4,0,0,20.0
E05000136,Haverstock,4,0,0,20.0
E05000138,Holborn and Covent Garden,4,0,0,0.0
E05000139,Kentish Town,4,0,0,0.0
E05000140,Kilburn,4,0,0,20.0
E05000141,King's Cross,4,0,0,0.0
E05000142,Regent's Park,4,0,0,20.0
E05000143,St Pancras and Somers Town,4,0,0,20.0
E05000154,Fieldway,4,0,0,0.0
E05000172,Dormers Wells,4,0,0,20.0
E05000175,East Acton,4,0,0,0.0
E05000176,Elthorne,4,0,0,0.0
E05000177,Greenford Broadway,4,0,0,0.0
E05000180,Hobbayne,4,0,0,0.0
E05000184,Northolt Mandeville,4,0,0,0.0
E05000185,Northolt West End,4,0,0,0.0
E05000186,Norwood Green,4,0,0,0.0
E05000188,South Acton,4,0,0,20.0
E05000193,Bowes,4,0,0,0.0
E05000195,Chase,4,0,0,20.0
E05000197,Edmonton Green,4,0,0,0.0
E05000198,Enfield Highway,4,0,0,0.0
E05000199,Enfield Lock,4,0,0,0.0
E05000201,Haselbury,4,0,0,0.0
E05000204,Lower Edmonton,4,0,0,0.0
E05000206,Ponders End,4,0,0,0.0
E05000211,Turkey Street,4,0,0,0.0
E05000212,Upper Edmonton,4,0,0,0.0
E05000216,Charlton,4,0,0,20.0
E05000217,Coldharbour and New Eltham,4,0,0,20.0
E05000221,Glyndon,4,0,0,0.0
E05000222,Greenwich West,4,0,0,20.0
E05000224,Middle Park and Sutcliffe,4,0,0,20.0
E05000226,Plumstead,4,0,0,0.0
E05000227,Shooters Hill,4,0,0,20.0
E05000228,Thamesmead Moorings,4,0,0,0.0
E05000229,Woolwich Common,4,0,0,0.0
E05000230,Woolwich Riverside,4,0,0,0.0
E05000255,Fulham Reach,4,0,0,20.0
E05000258,North End,4,0,0,20.0
E05000267,Bounds Green,4,0,0,20.0
E05000268,Bruce Grove,4,0,0,20.0
E05000273,Hornsey,4,0,0,0.0
