Ward_ID,Ward_Name,Gym,Poverty_Family,GreenSpace
E05000026,Abbey,0.0,0,10.0
E05000028,Becontree,0.0,0,10.0
E05000029,Chadwell Heath,0.0,0,10.0
E05000030,Eastbrook,0.0,0,10.0
E05000031,Eastbury,0.0,0,10.0
E05000032,Gascoigne,0.0,0,10.0
E05000033,Goresbrook,0.0,0,10.0
E05000034,Heath,0.0,0,10.0
E05000037,Parsloes,0.0,0,10.0
E05000039,Thames,0.0,0,10.0
E05000040,Valence,0.0,0,10.0
E05000065,Belvedere,0.0,0,10.0
E05000070,Colyers,0.0,0,10.0
E05000071,Crayford,0.0,0,10.0
E05000072,Cray Meadows,0.0,0,10.0
E05000079,North End,0.0,0,10.0
E05000080,Northumberland Heath,0.0,0,10.0
E05000084,Thamesmead East,0.0,0,10.0
E05000094,Kilburn,0.0,0,10.0
E05000100,Stonebridge,0.0,0,10.0
E05000114,Cray Valley East,0.0,0,0.0
E05000115,Cray Valley West,0.0,0,0.0
E05000121,Mottingham and Chislehurst North,10.0,0,0.0
E05000122,Orpington,0.0,0,10.0
E05000130,Camden Town with Primrose Hill,0.0,0,0.0
E05000131,Cantelowes,0.0,0,0.0
E05000134,Gospel Oak,0.0,0,10.0
E05000136,Haverstock,0.0,0,10.0
E05000138,Holborn and Covent Garden,0.0,0,0.0
E05000139,Kentish Town,0.0,0,0.0
E05000140,Kilburn,0.0,0,10.0
E05000141,King's Cross,0.0,0,0.0
E05000142,Regent's Park,0.0,0,10.0
E05000143,St Pancras and Somers Town,0.0,0,10.0
E05000154,Fieldway,0.0,0,10.0
E05000172,Dormers Wells,0.0,0,10.0
E05000175,East Acton,0.0,0,10.0
E05000176,Elthorne,0.0,0,0.0
E05000177,Greenford Broadway,0.0,0,10.0
E05000180,Hobbayne,0.0,0,0.0
E05000184,Northolt Mandeville,0.0,0,10.0
E05000185,Northolt West End,0.0,0,10.0
E05000186,Norwood Green,0.0,0,0.0
E05000188,South Acton,0.0,0,10.0
E05000193,Bowes,0.0,0,0.0
E05000195,Chase,0.0,0,10.0
E05000197,Edmonton Green,0.0,0,10.0
E05000198,Enfield Highway,10.0,0,0.0
E05000199,Enfield Lock,10.0,0,0.0
E05000201,Haselbury,0.0,0,10.0
E05000204,Lower Edmonton,10.0,0,0.0
E05000206,Ponders End,0.0,0,10.0
E05000211,Turkey Street,0.0,0,10.0
E05000212,Upper Edmonton,0.0,0,10.0
E05000216,Charlton,0.0,0,10.0
E05000217,Coldharbour and New Eltham,0.0,0,10.0
E05000221,Glyndon,0.0,0,10.0
E05000222,Greenwich West,0.0,0,10.0
E05000224,Middle Park and Sutcliffe,0.0,0,10.0
E05000226,Plumstead,0.0,0,10.0
E05000227,Shooters Hill,0.0,0,10.0
E05000228,Thamesmead Moorings,0.0,0,10.0
E05000229,Woolwich Common,0.0,0,10.0
E05000230,Woolwich Riverside,0.0,0,10.0
E05000255,Fulham Reach,0.0,0,10.0
E05000258,North End,0.0,0,10.0
E05000267,Bounds Green,0.0,0,10.0
E05000268,Bruce Grove,0.0,0,10.0
E05000273,Hornsey,0.0,0,0.0
E05000275,Noel Park,0.0,0,10.0
E05000276,Northumberland Park,0.0,0,10.0
E05000277,St Ann's,0.0,0,10.0
E05000278,Seven Sisters,0.0,0,10.0
E05000279,Stroud Green,0.0,0,0.0
E05000280,Tottenham Green,0.0,0,10.0
E05000281,Tottenham Hale,0.0,0,10.0
E05000283,White Hart Lane,0.0,0,10.0
E05000301,Roxbourne,0.0,0,0.0
E05000303,Stanmore Park,0.0,0,0.0
E05000304,Wealdstone,0.0,0,10.0
E05000306,Brooklands,0.0,0,0.0
E05000308,Elm Park,0.0,0,10.0
E05000310,Gooshays,0.0,0,10.0
E05000313,Havering Park,0.0,0,0.0
E05000314,Heaton,0.0,0,10.0
E05000316,Mawneys,0.0,0,0.0
E05000318,Rainham and Wennington,0.0,0,10.0
E05000321,South Hornchurch,0.0,0,10.0
E05000341,Uxbridge South,0.0,0,10.0
E05000345,Yiewsley,0.0,0,10.0
E05000346,Bedfont,0.0,0,10.0
